REF_AREA,TIME_PERIOD,OBS_VALUE
NZL,2023,10.99
PER,2015,4.961
PER,2016,4.96
PER,2017,4.881
PER,2018,5.16
PER,2019,5.179
PER,2020,6.286
PER,2021,6.679
PER,2022,6.093
POL,2015,6.404
POL,2016,6.571
POL,2017,6.583
POL,2018,6.313
POL,2019,6.46
POL,2020,6.497
POL,2021,6.439
POL,2022,6.381
POL,2023,6.988
PRT,2015,9.316
PRT,2016,9.394
PRT,2017,9.306
PRT,2018,9.413
PRT,2019,9.514
PRT,2020,10.548
PRT,2021,11.124
PRT,2022,10.469
PRT,2023,10.003
ROU,2015,4.943
ROU,2016,5.08
ROU,2017,5.189
ROU,2018,5.518
ROU,2019,5.714
ROU,2020,6.226
ROU,2021,6.47
ROU,2022,5.749
ROU,2023,5.851
SVK,2015,6.762
SVK,2016,6.973
SVK,2017,6.757
SVK,2018,6.666
SVK,2019,6.92
SVK,2020,7.126
SVK,2021,7.757
SVK,2022,7.722
SVK,2023,8.634
SVN,2015,8.517
SVN,2016,8.478
SVN,2017,8.185
SVN,2018,8.277
SVN,2019,8.491
SVN,2020,9.428
SVN,2021,9.481
SVN,2022,9.605
SVN,2023,9.413
SWE,2015,10.804
SWE,2016,10.852
SWE,2017,10.785
SWE,2018,10.941
SWE,2019,10.832
SWE,2020,11.333
SWE,2021,11.102
SWE,2022,10.522
SWE,2023,10.911
TUR,2015,4.117
TUR,2016,4.285
TUR,2017,4.18
TUR,2018,4.121
TUR,2019,4.36
TUR,2020,4.616
TUR,2021,4.561
TUR,2022,3.703
TUR,2023,4.206
UKR,2015,7.784
UKR,2016,7.552
UKR,2017,7.442
UKR,2018,7.52
UKR,2019,7.092
UKR,2020,7.562
UKR,2021,8.019
USA,2015,16.401
USA,2016,16.693
USA,2017,16.638
USA,2018,16.516
USA,2019,16.553
USA,2020,18.582
USA,2021,17.299
USA,2022,16.496
USA,2023,16.683
ZAF,2015,8.053
ZAF,2016,8.08
ZAF,2017,7.977
ZAF,2018,8.077
ZAF,2019,8.23
ZAF,2020,8.528
ZAF,2021,8.251
